timestamp,P1,P2,year,month
2022-02-01 00:07:20,0.07265306122459407,-0.19558139534879707,2022,2
2022-02-01 00:35:24,0.07265306122459407,-0.19069767441856447,2022,2
2022-02-01 01:03:37,0.07265306122459407,-0.19093023255809935,2022,2
2022-02-01 01:31:35,0.07265306122459407,-0.19395348837205287,2022,2
2022-02-01 02:00:18,0.09836734693887977,-0.1988095238094827,2022,2
2022-02-01 02:28:21,0.09836734693887977,-0.1988095238094827,2022,2
2022-02-01 02:56:25,0.07265306122459407,-0.19418604651158775,2022,2
2022-02-01 03:24:23,0.07265306122459407,-0.19488372093019238,2022,2
2022-02-01 03:52:23,0.07265306122459407,-0.19488372093019238,2022,2
2022-02-01 04:20:18,0.07265306122459407,-0.18720930232554123,2022,2
2022-02-01 04:48:17,0.08285714285724713,-0.1832558139534482,2022,2
2022-02-01 05:18:52,0.10857142857153283,-0.18119047619043507,2022,2
2022-02-01 05:46:35,0.11061224489806344,-0.18095238095233984,2022,2
2022-02-01 06:14:30,0.11061224489806344,-0.17785714285710175,2022,2
2022-02-01 06:42:32,0.11061224489806344,-0.17785714285710175,2022,2
2022-02-01 07:10:34,0.11061224489806344,-0.1819047619047208,2022,2
2022-02-01 07:38:33,0.13102040816336957,-0.158095238095197,2022,2
2022-02-01 08:07:04,0.13102040816336957,-0.15285714285710175,2022,2
2022-02-01 08:34:47,0.13102040816336957,-0.16404761904757792,2022,2
2022-02-01 09:02:43,0.13102040816336957,-0.17523809523805411,2022,2
2022-02-01 09:30:39,0.13102040816336957,-0.17214285714281602,2022,2
2022-02-01 09:58:41,0.13102040816336957,-0.1799999999999589,2022,2
2022-02-01 10:54:53,0.1441666666667731,-0.16902439024386032,2022,2
2022-02-01 11:23:16,0.1441666666667731,-0.1770731707316652,2022,2
2022-02-01 11:50:51,0.1179166666667731,-0.17714285714281602,2022,2
2022-02-01 13:14:32,0.09361702127670445,-0.17404761904757793,2022,2
2022-02-01 14:10:17,0.09361702127670445,-0.17404761904757793,2022,2
2022-02-01 14:37:45,0.09361702127670445,-0.17714285714281602,2022,2
2022-02-01 15:05:27,0.09361702127670445,-0.16595238095233983,2022,2
2022-02-01 15:33:15,0.09361702127670445,-0.16285714285710173,2022,2
2022-02-01 16:01:00,0.06680851063840658,-0.1620930232557738,2022,2
2022-02-01 16:28:50,0.06680851063840658,-0.1604651162790296,2022,2
2022-02-01 16:56:36,0.04458333333343978,-0.1795454545454153,2022,2
2022-02-01 17:24:31,0.04458333333343978,-0.17477272727268803,2022,2
2022-02-01 17:52:26,0.04458333333343978,-0.17477272727268803,2022,2
2022-02-01 18:20:33,0.06541666666677311,-0.1636363636363244,2022,2
2022-02-01 18:48:28,0.06541666666677311,-0.1636363636363244,2022,2
2022-02-01 19:16:24,0.08625000000010645,-0.15159090909086984,2022,2
2022-02-01 19:44:31,0.08625000000010645,-0.1531818181817789,2022,2
2022-02-01 20:12:40,0.08625000000010645,-0.15931818181814253,2022,2
2022-02-01 20:40:42,0.08625000000010645,-0.15545454545450618,2022,2
2022-02-01 21:08:50,0.06000000000010645,-0.15199999999996158,2022,2
2022-02-01 21:36:45,0.06000000000010645,-0.14777777777773934,2022,2
2022-02-01 22:04:53,0.06000000000010645,-0.14799999999996158,2022,2
2022-02-01 22:32:48,0.03375000000010645,-0.15195652173909285,2022,2
2022-02-01 23:01:02,0.03375000000010645,-0.15478260869561458,2022,2
2022-02-01 23:29:06,0.03375000000010645,-0.15499999999996242,2022,2
2022-02-01 23:57:03,0.03375000000010645,-0.15804347826083195,2022,2
