dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,2.8499999999999996,1.9849999999999999,2022,5
Friday,1,2.2,1.58,2022,5
Friday,2,2.15,1.275,2022,5
Friday,3,2.05,1.08,2022,5
Friday,4,1.5666666666666667,0.8000000000000002,2022,5
Friday,5,2.15,1.5899999999999999,2022,5
Friday,6,2.05,1.02,2022,5
Friday,7,3.7,0.9450000000000001,2022,5
Friday,8,1.8499999999999999,0.63,2022,5
Friday,9,1.5,0.94,2022,5
Friday,10,1.5,0.82,2022,5
Friday,11,0.8,0.295,2022,5
Friday,12,0.8500000000000001,0.31,2022,5
Friday,13,0.5666666666666668,0.32,2022,5
Friday,14,2.65,0.43000000000000005,2022,5
Friday,15,0.4,0.1,2022,5
Friday,16,0.7,0.255,2022,5
Friday,17,0.7,0.245,2022,5
Friday,18,0.8,0.43,2022,5
Friday,19,1.65,0.47,2022,5
Friday,20,1.9333333333333333,0.7266666666666666,2022,5
Friday,21,2.1,0.7649999999999999,2022,5
Friday,22,1.5,1.01,2022,5
Friday,23,3.15,1.74,2022,5
Monday,0,3.8200000000000003,2.4520000000000004,2022,5
Monday,1,3.266666666666666,2.0633333333333335,2022,5
Monday,2,4.125,2.4574999999999996,2022,5
Monday,3,5.525,2.6075,2022,5
Monday,4,6.7749999999999995,3.2274999999999996,2022,5
Monday,5,3.75,1.8824999999999998,2022,5
Monday,6,6.05,3.2849999999999997,2022,5
Monday,7,3.933333333333333,2.21,2022,5
Monday,8,7.35,2.73,2022,5
Monday,9,6.65,2.77,2022,5
Monday,10,6.0,3.0233333333333334,2022,5
Monday,11,5.25,2.8499999999999996,2022,5
Monday,12,4.275,2.3725000000000005,2022,5
Monday,13,4.699999999999999,2.26,2022,5
Monday,14,3.9499999999999997,2.4450000000000003,2022,5
Monday,15,2.4999999999999996,1.3033333333333335,2022,5
Monday,16,3.8000000000000003,2.2533333333333334,2022,5
Monday,17,5.675,2.785,2022,5
Monday,18,6.2250000000000005,3.235,2022,5
Monday,19,6.4,4.2225,2022,5
Monday,20,8.549999999999999,3.9225000000000003,2022,5
Monday,21,7.033333333333334,3.643333333333333,2022,5
Monday,22,7.25,4.257499999999999,2022,5
Monday,23,7.44,3.682,2022,5
Saturday,0,3.2,1.815,2022,5
Saturday,1,1.85,1.125,2022,5
Saturday,2,1.55,0.92,2022,5
Saturday,3,0.4,0.135,2022,5
Saturday,4,0.6666666666666666,0.32666666666666666,2022,5
Saturday,5,1.0499999999999998,0.5,2022,5
Saturday,6,0.55,0.465,2022,5
Saturday,7,0.6499999999999999,0.32499999999999996,2022,5
Saturday,8,0.6,0.36,2022,5
Saturday,9,1.1,0.45499999999999996,2022,5
Saturday,10,0.8,0.21,2022,5
Saturday,11,0.75,0.245,2022,5
Saturday,12,0.6499999999999999,0.225,2022,5
Saturday,13,0.5,0.20000000000000004,2022,5
Saturday,14,0.75,0.2,2022,5
Saturday,15,1.0,0.41000000000000003,2022,5
Saturday,16,0.9,0.47,2022,5
Saturday,17,1.4,0.765,2022,5
Saturday,18,1.7,0.9199999999999999,2022,5
Saturday,19,1.5499999999999998,0.89,2022,5
Saturday,20,1.4500000000000002,1.025,2022,5
Saturday,21,4.2,2.5833333333333335,2022,5
Saturday,22,2.25,1.28,2022,5
Saturday,23,2.5,1.71,2022,5
Sunday,0,4.375,2.2725,2022,5
Sunday,1,4.325000000000001,2.37,2022,5
Sunday,2,4.4,2.7750000000000004,2022,5
Sunday,3,6.749999999999999,4.140000000000001,2022,5
Sunday,4,6.324999999999999,3.825,2022,5
Sunday,5,6.8500000000000005,4.409999999999999,2022,5
Sunday,6,8.025,4.2975,2022,5
Sunday,7,6.125,3.4750000000000005,2022,5
Sunday,8,5.0,2.9575,2022,5
Sunday,9,4.3,2.72,2022,5
Sunday,10,3.425,2.2075,2022,5
Sunday,11,4.566666666666667,2.563333333333333,2022,5
Sunday,12,4.2,2.41,2022,5
Sunday,13,3.5599999999999996,2.096,2022,5
Sunday,14,4.720000000000001,2.64,2022,5
Sunday,15,2.866666666666667,1.4766666666666666,2022,5
Sunday,16,3.3499999999999996,1.6125,2022,5
Sunday,17,2.6999999999999997,1.9075,2022,5
Sunday,18,1.5,0.63,2022,5
Sunday,19,3.2,1.41,2022,5
Sunday,20,3.7750000000000004,2.1275,2022,5
Sunday,21,4.24,2.576,2022,5
Sunday,22,6.675,3.3275000000000006,2022,5
Sunday,23,6.425,3.77,2022,5
Thursday,0,4.55,1.355,2022,5
Thursday,1,2.1,1.0325,2022,5
Thursday,2,2.68,0.712,2022,5
Thursday,3,2.375,0.9125,2022,5
Thursday,4,1.4,0.6900000000000001,2022,5
Thursday,5,2.2,1.1,2022,5
Thursday,6,1.675,0.995,2022,5
Thursday,7,3.175,1.4324999999999999,2022,5
Thursday,8,4.1000000000000005,1.6625,2022,5
Thursday,9,1.3,0.7133333333333334,2022,5
Thursday,10,2.766666666666667,1.1433333333333333,2022,5
Thursday,11,2.4,1.34,2022,5
Thursday,12,2.1,0.8966666666666666,2022,5
Thursday,13,3.34,1.15,2022,5
Thursday,14,3.025,1.45,2022,5
Thursday,15,2.15,1.0075,2022,5
Thursday,16,1.875,0.99,2022,5
Thursday,17,1.9,1.0150000000000001,2022,5
Thursday,18,3.7249999999999996,1.1375000000000002,2022,5
Thursday,19,2.46,1.1600000000000001,2022,5
Thursday,20,3.4200000000000004,1.5459999999999998,2022,5
Thursday,21,2.95,1.1725,2022,5
Thursday,22,3.075,1.3199999999999998,2022,5
Thursday,23,5.075,1.835,2022,5
Tuesday,0,5.5,3.4133333333333336,2022,5
Tuesday,2,5.8,2.13,2022,5
Tuesday,3,5.366666666666666,2.36,2022,5
Tuesday,4,5.779999999999999,3.2359999999999998,2022,5
Tuesday,5,5.05,3.605,2022,5
Tuesday,6,6.425,3.4275,2022,5
Tuesday,7,7.75,3.8625,2022,5
Tuesday,8,6.34,2.896,2022,5
Tuesday,9,7.6499999999999995,3.445,2022,5
Tuesday,10,5.3,2.72,2022,5
Tuesday,11,12.8,6.395,2022,5
Tuesday,12,10.85,5.73,2022,5
Tuesday,13,8.975,4.425,2022,5
Tuesday,14,8.466666666666667,3.8833333333333333,2022,5
Tuesday,15,5.85,2.7425,2022,5
Tuesday,16,6.775,2.935,2022,5
Tuesday,17,5.54,2.336,2022,5
Tuesday,18,9.025,3.7675,2022,5
Tuesday,19,7.0,3.4699999999999998,2022,5
Tuesday,20,11.84,5.8660000000000005,2022,5
Tuesday,21,12.675,5.1575,2022,5
Tuesday,22,6.824999999999999,3.0075,2022,5
Tuesday,23,4.824999999999999,2.3400000000000003,2022,5
Wednesday,0,4.3999999999999995,2.345,2022,5
Wednesday,1,3.1500000000000004,1.3125,2022,5
Wednesday,2,6.725,3.0849999999999995,2022,5
Wednesday,3,6.575,3.4425000000000003,2022,5
Wednesday,4,7.025,3.17,2022,5
Wednesday,5,4.24,2.4,2022,5
Wednesday,6,3.65,1.7975,2022,5
Wednesday,7,3.225,1.2375,2022,5
Wednesday,8,2.0749999999999997,1.155,2022,5
Wednesday,9,1.72,0.8160000000000001,2022,5
Wednesday,10,1.35,0.5549999999999999,2022,5
Wednesday,11,1.5,0.7533333333333333,2022,5
Wednesday,12,1.6500000000000001,0.6825,2022,5
Wednesday,13,1.8400000000000003,0.8860000000000001,2022,5
