dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,1.13,0.63,2021,4
Friday,1,1.5222222222222224,0.8900000000000001,2021,4
Friday,2,1.5454545454545454,0.9145454545454546,2021,4
Friday,3,1.56,0.9320000000000002,2021,4
Friday,4,2.58,1.1960000000000002,2021,4
Friday,5,1.9909090909090912,1.1818181818181819,2021,4
Friday,6,2.1333333333333333,1.0791666666666668,2021,4
Friday,7,2.82,1.566,2021,4
Friday,8,2.9749999999999996,1.4200000000000002,2021,4
Friday,9,2.309090909090909,0.9527272727272728,2021,4
Friday,10,2.011111111111111,1.2555555555555555,2021,4
Friday,11,1.8222222222222224,0.7733333333333334,2021,4
Friday,12,1.54,0.784,2021,4
Friday,13,1.8454545454545455,0.8309090909090909,2021,4
Friday,14,1.309090909090909,0.6345454545454545,2021,4
Friday,15,1.1727272727272728,0.5854545454545453,2021,4
Friday,16,1.2444444444444445,0.6788888888888889,2021,4
Friday,17,1.5090909090909093,0.779090909090909,2021,4
Friday,18,2.0700000000000003,1.1010000000000002,2021,4
Friday,19,1.9299999999999997,1.074,2021,4
Friday,20,2.408333333333333,1.3083333333333333,2021,4
Friday,21,3.190909090909091,1.9236363636363634,2021,4
Friday,22,2.472727272727272,1.4763636363636359,2021,4
Friday,23,2.45,1.0919999999999999,2021,4
Monday,0,7.442857142857143,3.575714285714286,2021,4
Monday,1,5.614285714285714,3.125714285714286,2021,4
Monday,2,4.985714285714286,2.295714285714286,2021,4
Monday,3,5.371428571428571,2.6957142857142857,2021,4
Monday,4,3.5666666666666664,1.5833333333333333,2021,4
Monday,5,3.4571428571428564,1.5085714285714285,2021,4
Monday,6,2.9571428571428577,1.48,2021,4
Monday,7,5.825,3.0774999999999997,2021,4
Monday,8,4.933333333333333,2.2449999999999997,2021,4
Monday,9,1.0,0.81,2021,4
Monday,10,5.75,2.66,2021,4
Monday,11,3.3400000000000007,1.8920000000000001,2021,4
Monday,12,4.071428571428571,2.0542857142857143,2021,4
Monday,13,2.557142857142857,1.377142857142857,2021,4
Monday,14,2.15,1.12125,2021,4
Monday,15,1.625,0.9075000000000001,2021,4
Monday,16,1.8875000000000002,0.93875,2021,4
Monday,17,1.7,0.805,2021,4
Monday,18,1.8499999999999999,0.8466666666666667,2021,4
Monday,19,2.0,1.145,2021,4
Monday,20,3.128571428571429,1.477142857142857,2021,4
Monday,21,3.0714285714285716,1.48,2021,4
Monday,22,2.2,1.3299999999999998,2021,4
Monday,23,3.75,1.8349999999999997,2021,4
Saturday,0,2.1222222222222222,1.1744444444444446,2021,4
Saturday,1,2.1571428571428575,1.1257142857142857,2021,4
Saturday,2,2.05,1.075,2021,4
Saturday,3,1.2999999999999998,0.73,2021,4
Saturday,4,2.477777777777778,1.0088888888888892,2021,4
Saturday,5,1.4000000000000001,0.8612499999999998,2021,4
Saturday,6,2.0100000000000002,1.126,2021,4
Saturday,7,4.5375,1.9437499999999999,2021,4
Saturday,8,4.3,2.3825,2021,4
Saturday,9,3.8333333333333335,2.35,2021,4
Saturday,10,5.2375,2.0975,2021,4
Saturday,11,4.785714285714286,2.0485714285714285,2021,4
Saturday,12,3.3374999999999995,1.7737500000000002,2021,4
Saturday,13,3.5,1.425,2021,4
Saturday,14,2.9111111111111114,1.5677777777777777,2021,4
Saturday,15,2.5444444444444447,1.3888888888888888,2021,4
Saturday,16,2.7777777777777772,1.4100000000000001,2021,4
Saturday,17,3.4625000000000004,1.6325,2021,4
Saturday,18,3.25,1.82375,2021,4
Saturday,19,2.9125,1.71875,2021,4
Saturday,20,12.544444444444444,7.006666666666667,2021,4
Saturday,21,5.4,2.9655555555555555,2021,4
Saturday,22,4.555555555555555,2.4722222222222228,2021,4
Saturday,23,6.824999999999999,3.06125,2021,4
Sunday,0,5.177777777777779,3.04,2021,4
Sunday,1,5.471428571428572,3.1157142857142857,2021,4
Sunday,2,4.871428571428572,3.1028571428571428,2021,4
Sunday,3,3.5875000000000004,2.1575,2021,4
Sunday,4,4.45,2.63,2021,4
Sunday,5,5.6000000000000005,2.9914285714285715,2021,4
Sunday,6,4.628571428571429,2.641428571428572,2021,4
Sunday,7,5.720000000000001,3.4080000000000004,2021,4
Sunday,8,5.683333333333334,2.8600000000000008,2021,4
Sunday,9,4.775,2.6112499999999996,2021,4
Sunday,10,4.279999999999999,2.21,2021,4
