dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,1.0857142857142856,0.622857142857143,2020,6
Friday,1,1.3666666666666665,0.735,2020,6
Friday,2,1.2333333333333332,0.6483333333333334,2020,6
Friday,3,0.8833333333333332,0.46,2020,6
Friday,4,0.8428571428571429,0.52,2020,6
Friday,5,1.5875000000000001,0.585,2020,6
Friday,6,1.9000000000000001,0.6914285714285713,2020,6
Friday,7,2.6874999999999996,1.045,2020,6
Friday,8,4.720000000000001,2.0769999999999995,2020,6
Friday,9,4.7125,2.3912500000000003,2020,6
Friday,10,4.3999999999999995,2.42125,2020,6
Friday,11,3.7875,2.2562499999999996,2020,6
Friday,12,3.1999999999999997,2.04875,2020,6
Friday,13,2.766666666666667,1.596666666666667,2020,6
Friday,14,3.566666666666667,1.9616666666666667,2020,6
Friday,15,1.9249999999999996,0.89125,2020,6
Friday,16,2.3555555555555556,1.1533333333333333,2020,6
Friday,17,1.4222222222222223,0.6433333333333333,2020,6
Friday,18,1.3,0.6,2020,6
Friday,19,1.0999999999999999,0.41125,2020,6
Friday,20,1.0555555555555556,0.43666666666666665,2020,6
Friday,21,0.9666666666666668,0.47666666666666674,2020,6
Friday,22,0.9428571428571428,0.5285714285714286,2020,6
Friday,23,1.8714285714285714,0.79,2020,6
Monday,0,2.2090909090909094,0.570909090909091,2020,6
Monday,1,1.5799999999999998,0.6210000000000001,2020,6
Monday,2,1.36,0.584,2020,6
Monday,3,1.6909090909090907,0.6390909090909092,2020,6
Monday,4,1.4800000000000002,0.603,2020,6
Monday,5,1.75,0.7259999999999999,2020,6
Monday,6,1.8727272727272726,0.5809090909090909,2020,6
Monday,7,1.2500000000000002,0.4680000000000001,2020,6
Monday,8,1.0818181818181818,0.33181818181818185,2020,6
Monday,9,1.3499999999999999,0.3033333333333333,2020,6
Monday,10,1.4300000000000002,0.437,2020,6
Monday,11,1.3454545454545455,0.3727272727272728,2020,6
Monday,12,0.8111111111111111,0.2633333333333333,2020,6
Monday,13,1.31,0.3989999999999999,2020,6
Monday,14,0.8181818181818183,0.26636363636363636,2020,6
Monday,15,1.7636363636363634,0.4454545454545455,2020,6
Monday,16,1.3272727272727274,0.40454545454545454,2020,6
Monday,17,1.75,0.49700000000000005,2020,6
Monday,18,1.9636363636363638,0.7254545454545455,2020,6
Monday,19,1.89,0.554,2020,6
Monday,20,1.4454545454545453,0.5381818181818182,2020,6
Monday,21,2.3375000000000004,0.6837500000000001,2020,6
Monday,22,1.5899999999999999,0.663,2020,6
Monday,23,1.56,0.756,2020,6
Saturday,0,1.6166666666666665,0.735,2020,6
Saturday,1,2.0714285714285716,0.777142857142857,2020,6
Saturday,2,1.3166666666666667,0.5166666666666667,2020,6
Saturday,3,1.0333333333333334,0.4333333333333333,2020,6
Saturday,4,0.86,0.32599999999999996,2020,6
Saturday,5,1.6875,0.5625,2020,6
Saturday,6,1.7374999999999998,0.54625,2020,6
Saturday,7,1.7111111111111112,0.5,2020,6
Saturday,8,0.51875,0.25875,2020,6
Saturday,9,0.6333333333333333,0.21333333333333332,2020,6
Saturday,10,0.7999999999999999,0.42500000000000004,2020,6
Saturday,11,0.7375,0.3725,2020,6
Saturday,12,0.53,0.23199999999999998,2020,6
Saturday,13,0.6,0.19874999999999998,2020,6
Saturday,14,0.44375,0.16125,2020,6
Saturday,15,0.5222222222222223,0.19,2020,6
Saturday,16,0.7125,0.14500000000000002,2020,6
Saturday,17,0.7555555555555555,0.18666666666666668,2020,6
Saturday,18,0.5142857142857143,0.18857142857142858,2020,6
Saturday,19,0.9666666666666666,0.3055555555555556,2020,6
Saturday,20,1.3222222222222222,0.5833333333333334,2020,6
Saturday,21,1.7374999999999998,0.5912499999999999,2020,6
Saturday,22,0.6375000000000001,0.27,2020,6
Saturday,23,0.9,0.3175,2020,6
Sunday,0,0.8625000000000002,0.355,2020,6
Sunday,1,1.0666666666666667,0.46111111111111114,2020,6
Sunday,2,0.9333333333333336,0.2922222222222222,2020,6
Sunday,3,0.85,0.35375,2020,6
Sunday,4,0.9500000000000001,0.3085714285714286,2020,6
Sunday,5,1.2249999999999999,0.4962500000000001,2020,6
Sunday,6,1.3285714285714285,0.44428571428571434,2020,6
Sunday,7,1.7000000000000002,0.43777777777777777,2020,6
Sunday,8,1.4124999999999999,0.41250000000000003,2020,6
Sunday,9,1.1222222222222222,0.308888888888889,2020,6
Sunday,10,0.9722222222222222,0.22,2020,6
Sunday,11,0.8375,0.28125,2020,6
Sunday,12,1.0,0.25875000000000004,2020,6
Sunday,13,1.75,0.265,2020,6
Sunday,14,0.85,0.303,2020,6
Sunday,15,1.45,0.3,2020,6
Sunday,16,1.6,0.42666666666666675,2020,6
Sunday,17,3.2111111111111117,0.5877777777777777,2020,6
Sunday,18,2.325,0.38625,2020,6
Sunday,19,3.042857142857143,0.5442857142857144,2020,6
Sunday,20,1.0571428571428572,0.3614285714285715,2020,6
Sunday,21,2.15,0.7633333333333333,2020,6
Sunday,22,2.1875,0.77125,2020,6
Sunday,23,1.3444444444444446,0.6344444444444444,2020,6
Thursday,0,2.4777777777777774,1.278888888888889,2020,6
Thursday,1,2.675,1.3725,2020,6
Thursday,2,2.2125,1.25375,2020,6
Thursday,3,3.2875,1.5425,2020,6
Thursday,4,4.057142857142857,1.8585714285714285,2020,6
Thursday,5,3.5,1.7729999999999997,2020,6
Thursday,6,2.9125,1.45375,2020,6
Thursday,7,2.425,0.98375,2020,6
Thursday,8,1.7,0.91625,2020,6
Thursday,9,2.69,1.01,2020,6
Thursday,10,2.4,1.05875,2020,6
Thursday,11,1.6375,0.8975,2020,6
Thursday,12,1.5625,0.7475,2020,6
Thursday,13,1.3555555555555554,0.6411111111111111,2020,6
