dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,13.04565217391304,5.119673913043481,2020,2
Friday,1,14.484838709677435,5.506989247311828,2020,2
Friday,2,14.143043478260868,5.2751086956521736,2020,2
Friday,3,15.194777777777777,6.064111111111109,2020,2
Friday,4,13.576024096385538,5.7890361445783105,2020,2
Friday,5,14.074470588235293,5.576823529411769,2020,2
Friday,6,13.157415730337082,5.3835955056179765,2020,2
Friday,7,13.720412371134021,5.497628865979382,2020,2
Friday,8,14.229999999999999,5.2593749999999995,2020,2
Friday,9,15.680833333333338,5.1308333333333325,2020,2
Friday,10,17.05372340425532,5.5402127659574445,2020,2
Friday,11,18.235957446808513,5.28787234042553,2020,2
Friday,12,16.615287356321836,4.494712643678162,2020,2
Friday,13,16.48202127659574,3.889361702127658,2020,2
Friday,14,14.890215053763445,3.784731182795697,2020,2
Friday,15,15.168315789473686,4.111368421052631,2020,2
Friday,16,19.664623655913978,5.197526881720432,2020,2
Friday,17,17.98734042553191,5.374999999999999,2020,2
Friday,18,16.204687499999988,5.225937500000003,2020,2
Friday,19,14.38221052631579,4.6345263157894765,2020,2
Friday,20,13.21673913043478,3.9294565217391293,2020,2
Friday,21,12.638571428571428,3.7431868131868127,2020,2
Friday,22,14.736043956043952,3.840659340659339,2020,2
Friday,23,14.661875,3.528999999999999,2020,2
Monday,0,22.949452054794524,4.50082191780822,2020,2
Monday,1,19.174096385542164,3.77987951807229,2020,2
Monday,2,14.205915492957747,3.0019718309859154,2020,2
Monday,3,15.139629629629631,2.9888888888888885,2020,2
Monday,4,18.03715789473684,3.5748421052631603,2020,2
Monday,5,16.98673684210526,3.0581052631578944,2020,2
Monday,6,15.468556701030925,2.8750515463917523,2020,2
Monday,7,15.764680851063831,2.993191489361703,2020,2
Monday,8,17.659255319148937,3.426808510638299,2020,2
Monday,9,14.290215053763442,2.7937634408602148,2020,2
Monday,10,11.997282608695647,2.3378260869565217,2020,2
Monday,11,13.594148936170217,2.652553191489361,2020,2
Monday,12,12.53098901098901,2.465824175824176,2020,2
Monday,13,14.44694736842106,2.9917894736842103,2020,2
Monday,14,12.822471910112357,2.5807865168539332,2020,2
Monday,15,16.93076923076923,3.238351648351649,2020,2
Monday,16,15.95747252747253,3.153626373626374,2020,2
Monday,17,12.781235955056177,2.4777528089887637,2020,2
Monday,18,13.888988764044948,2.6938202247191025,2020,2
Monday,19,12.051170212765959,2.5579787234042555,2020,2
Monday,20,12.294042553191488,2.6361702127659568,2020,2
Monday,21,11.407096774193553,2.349247311827959,2020,2
Monday,22,10.54494623655914,2.1110752688172036,2020,2
Monday,23,10.028505747126436,2.0763218390804594,2020,2
Saturday,0,13.626752136752135,3.151709401709401,2020,2
Saturday,1,13.451809523809526,3.165714285714286,2020,2
Saturday,2,12.48137254901961,2.9450980392156865,2020,2
Saturday,3,13.409056603773584,2.7659433962264144,2020,2
Saturday,4,12.139449541284401,2.3153211009174317,2020,2
Saturday,5,12.899035087719298,2.3548245614035093,2020,2
Saturday,6,12.954912280701759,2.3794736842105264,2020,2
Saturday,7,14.431551724137938,2.766637931034482,2020,2
Saturday,8,18.11063636363636,3.5141818181818163,2020,2
Saturday,9,18.111789473684194,3.4761052631578955,2020,2
Saturday,10,19.36421052631578,3.8776842105263145,2020,2
Saturday,11,17.076173913043473,3.479826086956523,2020,2
