dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,0.18,-0.08333333333333333,2022,4
Friday,1,0.1688888888888889,-0.26857142857142857,2022,4
Friday,2,0.4311111111111111,-0.25333333333333335,2022,4
Friday,3,0.28200000000000003,-0.17375,2022,4
Friday,4,0.378,-0.08571428571428572,2022,4
Friday,5,0.32,-0.22333333333333336,2022,4
Friday,6,0.49750000000000005,-0.166,2022,4
Friday,7,0.6485714285714286,-0.14666666666666667,2022,4
Friday,8,0.7571428571428571,-0.6,2022,4
Friday,9,0.63,-0.1,2022,4
Friday,10,0.0,-0.1,2022,4
Friday,11,0.252,-0.10500000000000001,2022,4
Friday,12,0.42000000000000004,-0.09500000000000001,2022,4
Friday,13,0.18,-0.16833333333333333,2022,4
Friday,14,0.5333333333333333,-0.16142857142857145,2022,4
Friday,15,0.7,-0.23,2022,4
Friday,16,0.42000000000000004,-0.19999999999999998,2022,4
Friday,17,0.42000000000000004,-0.12166666666666666,2022,4
Friday,18,0.6872727272727273,-0.18,2022,4
Friday,19,0.5822222222222222,-0.072,2022,4
Friday,20,0.6444444444444444,-0.125,2022,4
Friday,21,0.41000000000000003,-0.128,2022,4
Friday,22,1.008,-0.075,2022,4
Friday,23,0.8320000000000001,-0.3466666666666667,2022,4
Monday,0,0.84,-0.165,2022,4
Monday,1,0.63,-0.23,2022,4
Monday,2,0.756,-0.1,2022,4
Monday,3,0.54,-0.36250000000000004,2022,4
Monday,4,1.26,,2022,4
Monday,5,0.63,-0.16999999999999998,2022,4
Monday,6,0.504,-0.19333333333333333,2022,4
Monday,7,0.945,-0.33499999999999996,2022,4
Monday,8,0.41000000000000003,-0.13199999999999998,2022,4
Monday,9,0.72,-0.09000000000000001,2022,4
Monday,10,0.42,-0.15500000000000003,2022,4
Monday,11,0.42,-0.11750000000000001,2022,4
Monday,12,0.84,-0.14,2022,4
Monday,13,0.8285714285714285,-0.32,2022,4
Monday,14,0.42,-0.23250000000000004,2022,4
Monday,15,0.2885714285714286,-0.154,2022,4
Monday,16,0.72,-0.14,2022,4
Monday,17,0.252,-0.18250000000000002,2022,4
Monday,18,0.36,-0.124,2022,4
Monday,19,0.42,-0.1675,2022,4
Monday,20,0.63,-0.17333333333333334,2022,4
Monday,21,0.756,-0.085,2022,4
Monday,22,0.54,-0.15000000000000002,2022,4
Monday,23,0.42,-0.1825,2022,4
Saturday,0,0.6872727272727273,-0.21000000000000002,2022,4
Saturday,1,0.7342857142857143,-0.07333333333333335,2022,4
Saturday,2,0.82,-0.34500000000000003,2022,4
Saturday,3,0.825,-0.09666666666666668,2022,4
Saturday,4,0.4366666666666667,-0.20750000000000002,2022,4
Saturday,5,0.37249999999999994,-0.33,2022,4
Saturday,6,0.6,-0.3225,2022,4
Saturday,7,0.6633333333333332,-0.11666666666666665,2022,4
Saturday,8,0.9666666666666667,-0.5,2022,4
Saturday,9,0.72,-0.19000000000000003,2022,4
Saturday,10,0.63,-0.2866666666666667,2022,4
Saturday,11,0.42,-0.1,2022,4
Saturday,12,0.5044444444444445,-0.17400000000000002,2022,4
Saturday,13,0.756,-0.15500000000000003,2022,4
Saturday,14,0.043333333333333335,-0.31,2022,4
Saturday,15,0.72,-0.08333333333333333,2022,4
Saturday,16,0.7566666666666667,-0.07999999999999999,2022,4
Saturday,17,0.63,-0.13333333333333333,2022,4
Saturday,18,0.8622222222222222,-0.15,2022,4
Saturday,19,0.63,-0.2625,2022,4
Saturday,20,0.9,-0.065,2022,4
Saturday,21,0.9244444444444445,-0.25,2022,4
Saturday,22,0.7999999999999999,-0.16666666666666666,2022,4
Saturday,23,0.9,-0.135,2022,4
Sunday,0,0.8566666666666666,-0.085,2022,4
Sunday,1,0.72,-0.18666666666666668,2022,4
Sunday,2,0.945,-0.235,2022,4
Sunday,3,0.98,-0.22999999999999998,2022,4
Sunday,4,0.7999999999999999,-0.03666666666666667,2022,4
Sunday,5,0.9,-0.16,2022,4
Sunday,6,0.4366666666666667,-0.07750000000000001,2022,4
Sunday,7,0.7714285714285714,-0.555,2022,4
Sunday,8,0.63,-0.12250000000000001,2022,4
Sunday,9,1.05,-0.11,2022,4
Sunday,10,0.32571428571428573,-0.28500000000000003,2022,4
Sunday,11,0.9,0.0,2022,4
Sunday,12,0.36,-0.13,2022,4
Sunday,13,0.72,-0.043333333333333335,2022,4
Sunday,14,0.63,-0.22333333333333336,2022,4
Sunday,15,0.945,-0.095,2022,4
Sunday,16,0.68125,-0.2733333333333334,2022,4
