dayOfWeek,hourOfDay,P1,P2,year,month
Friday,9,1.26,,2022,6
Friday,10,1.26,,2022,6
Friday,11,1.26,,2022,6
Friday,17,0.63,-0.2,2022,6
Friday,18,1.26,,2022,6
Friday,19,0.63,-0.2,2022,6
Friday,20,1.26,,2022,6
Friday,22,1.26,,2022,6
Friday,23,1.26,,2022,6
Wednesday,2,1.26,,2022,6
Wednesday,6,1.26,,2022,6
Wednesday,7,0.0,-0.2,2022,6
Wednesday,9,1.26,,2022,6
Wednesday,10,1.26,,2022,6
Wednesday,12,1.26,,2022,6
Wednesday,13,1.26,,2022,6
Wednesday,14,0.63,0.0,2022,6
Wednesday,15,0.63,-0.2,2022,6
Wednesday,18,0.63,-0.2,2022,6
Wednesday,19,0.0,-0.2,2022,6
Wednesday,22,1.26,,2022,6
