dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,2.8636363636363638,1.4109090909090911,2019,5
Friday,1,3.04,1.433,2019,5
Friday,2,3.4181818181818184,1.6245454545454547,2019,5
Friday,3,4.183333333333334,1.760833333333333,2019,5
Friday,4,4.68,2.061,2019,5
Friday,5,4.52,2.2560000000000007,2019,5
Friday,6,5.2299999999999995,2.521,2019,5
Friday,7,4.054545454545455,1.8563636363636364,2019,5
Friday,8,3.3272727272727276,1.6490909090909087,2019,5
Friday,9,2.8799999999999994,1.297,2019,5
Friday,10,3.038461538461538,1.4015384615384614,2019,5
Friday,11,3.4799999999999995,1.7420000000000002,2019,5
Friday,12,2.89,1.5570000000000002,2019,5
Friday,13,3.439999999999999,1.8300000000000005,2019,5
Friday,14,5.3090909090909095,2.3181818181818183,2019,5
Friday,15,5.1818181818181825,2.780909090909091,2019,5
Friday,16,5.769999999999999,2.788,2019,5
Friday,17,4.391666666666667,2.4691666666666667,2019,5
Friday,18,5.76,2.392,2019,5
Friday,19,3.7099999999999995,1.6149999999999998,2019,5
Friday,20,3.5444444444444447,1.4611111111111112,2019,5
Friday,21,2.7636363636363637,1.4100000000000001,2019,5
Friday,22,4.7727272727272725,2.2172727272727277,2019,5
Friday,23,6.87,3.028999999999999,2019,5
Monday,0,7.2124999999999995,3.03125,2019,5
Monday,1,7.28888888888889,2.8922222222222227,2019,5
Monday,2,6.4444444444444455,2.8555555555555556,2019,5
Monday,3,8.633333333333333,3.58,2019,5
Monday,4,5.788888888888888,2.477777777777778,2019,5
Monday,5,6.3999999999999995,2.7271428571428573,2019,5
Monday,6,6.312499999999999,3.23375,2019,5
Monday,7,2.575,1.4549999999999998,2019,5
Monday,8,3.3999999999999995,1.3644444444444443,2019,5
Monday,9,1.95,1.0037500000000001,2019,5
Monday,10,1.9100000000000001,0.889,2019,5
Monday,11,3.1625,1.0062499999999999,2019,5
Monday,12,2.1249999999999996,1.0275,2019,5
Monday,13,3.0374999999999996,1.2262499999999998,2019,5
Monday,14,3.75,1.3387499999999999,2019,5
Monday,15,2.7875,1.19125,2019,5
Monday,16,44.111111111111114,9.406666666666668,2019,5
Monday,17,2.8899999999999997,1.5070000000000001,2019,5
Monday,18,2.5666666666666664,1.083333333333333,2019,5
Monday,19,3.2125,1.4124999999999996,2019,5
Monday,20,3.7625,1.45125,2019,5
Monday,21,2.7625,1.28125,2019,5
Monday,22,2.8777777777777778,1.0433333333333334,2019,5
Monday,23,3.7124999999999995,1.51375,2019,5
Saturday,0,6.777777777777778,3.398888888888889,2019,5
Saturday,1,6.444444444444445,3.6666666666666665,2019,5
Saturday,2,6.6,3.87375,2019,5
Saturday,3,6.7625,4.11875,2019,5
Saturday,4,8.775,4.6025,2019,5
Saturday,5,9.366666666666667,4.294444444444444,2019,5
Saturday,6,7.300000000000001,3.842222222222223,2019,5
Saturday,7,7.212499999999999,3.4212499999999997,2019,5
Saturday,8,10.511111111111111,4.248888888888889,2019,5
Saturday,9,8.744444444444444,3.9377777777777774,2019,5
Saturday,10,6.325,3.34,2019,5
Saturday,11,5.4375,2.6962499999999996,2019,5
Saturday,12,4.9375,2.5287499999999996,2019,5
Saturday,13,5.64,3.029,2019,5
Saturday,14,4.425,2.1287499999999997,2019,5
Saturday,15,4.677777777777778,2.285555555555556,2019,5
Saturday,16,4.255555555555556,2.161111111111111,2019,5
Saturday,17,7.225,2.8812499999999996,2019,5
Saturday,18,4.9375,2.4425000000000003,2019,5
Saturday,19,5.687499999999999,2.6225000000000005,2019,5
Saturday,20,7.6,3.18,2019,5
Saturday,21,8.3375,3.1362500000000004,2019,5
Saturday,22,5.788888888888889,2.8133333333333335,2019,5
Saturday,23,8.866666666666667,3.8400000000000003,2019,5
Sunday,0,9.562500000000002,4.78625,2019,5
Sunday,1,10.05,4.483750000000001,2019,5
Sunday,2,7.387500000000001,3.23125,2019,5
Sunday,3,6.888888888888889,3.597777777777778,2019,5
Sunday,4,5.711111111111111,2.887777777777778,2019,5
Sunday,5,3.7777777777777777,2.162222222222222,2019,5
Sunday,6,4.0874999999999995,2.10625,2019,5
Sunday,7,4.544444444444444,2.381111111111111,2019,5
Sunday,8,5.2375,2.5999999999999996,2019,5
Sunday,9,5.8125,2.7125,2019,5
Sunday,10,3.0625,1.73125,2019,5
Sunday,11,3.8777777777777778,2.213333333333333,2019,5
Sunday,12,3.9888888888888894,2.4144444444444444,2019,5
Sunday,13,4.466666666666666,2.427777777777778,2019,5
Sunday,14,4.955555555555555,2.401111111111111,2019,5
Sunday,15,5.1375,2.5462499999999997,2019,5
Sunday,16,3.475,1.9674999999999998,2019,5
Sunday,17,3.55,1.49375,2019,5
Sunday,18,3.022222222222222,1.2466666666666666,2019,5
Sunday,19,3.7299999999999995,1.4819999999999998,2019,5
Sunday,20,4.25,1.92,2019,5
Sunday,21,5.01111111111111,2.3133333333333335,2019,5
Sunday,22,6.0,2.9962500000000003,2019,5
Sunday,23,6.5375000000000005,2.67,2019,5
Thursday,0,7.709999999999999,2.492,2019,5
Thursday,1,8.80909090909091,2.5236363636363635,2019,5
Thursday,2,10.690000000000001,2.783,2019,5
Thursday,3,10.129999999999999,3.095,2019,5
Thursday,4,8.75,3.018,2019,5
Thursday,5,7.058333333333333,2.814166666666667,2019,5
Thursday,6,6.6899999999999995,2.682,2019,5
Thursday,7,6.04,2.185,2019,5
Thursday,8,5.66,2.1130000000000004,2019,5
Thursday,9,5.563636363636363,1.999090909090909,2019,5
Thursday,10,4.418181818181818,2.2254545454545456,2019,5
Thursday,11,3.8800000000000003,1.8619999999999997,2019,5
Thursday,12,2.733333333333333,1.4266666666666665,2019,5
Thursday,13,3.6999999999999997,1.815454545454545,2019,5
Thursday,14,3.13,1.3170000000000002,2019,5
Thursday,15,3.21,1.4429999999999998,2019,5
Thursday,16,3.927272727272727,1.458181818181818,2019,5
Thursday,17,3.2454545454545456,1.492727272727273,2019,5
Thursday,18,2.21,0.9970000000000001,2019,5
Thursday,19,3.0153846153846158,0.9484615384615385,2019,5
Thursday,20,1.9899999999999998,0.8240000000000001,2019,5
Thursday,21,2.36,0.942,2019,5
Thursday,22,2.43,1.2070000000000003,2019,5
Thursday,23,3.2454545454545456,1.5236363636363637,2019,5
Tuesday,0,4.39,1.7939999999999998,2019,5
Tuesday,1,4.0375,1.76125,2019,5
Tuesday,2,3.877777777777778,1.5455555555555558,2019,5
Tuesday,3,3.075,1.6899999999999997,2019,5
Tuesday,4,4.2,1.7912499999999998,2019,5
Tuesday,5,3.7124999999999995,1.8850000000000002,2019,5
Tuesday,6,4.033333333333333,2.003333333333333,2019,5
Tuesday,7,4.25,1.8375,2019,5
Tuesday,8,4.4111111111111105,1.8744444444444441,2019,5
Tuesday,9,2.8000000000000003,1.2240000000000002,2019,5
Tuesday,10,2.175,0.9262499999999999,2019,5
Tuesday,11,1.6749999999999998,0.9075,2019,5
Tuesday,12,1.7750000000000001,0.75875,2019,5
Tuesday,13,2.9125,1.1300000000000001,2019,5
Tuesday,14,1.877777777777778,0.9888888888888889,2019,5
Tuesday,15,2.822222222222222,1.2711111111111113,2019,5
Tuesday,16,2.85,1.2399999999999998,2019,5
Tuesday,17,3.55,1.37875,2019,5
Tuesday,18,4.5625,1.59375,2019,5
Tuesday,19,4.324999999999999,2.11125,2019,5
Tuesday,20,5.21111111111111,2.1455555555555557,2019,5
Tuesday,21,4.2875,1.6862499999999998,2019,5
