dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,31.299999999999986,37.12888888888889,2019,6
Friday,1,64.21000000000001,66.31400000000001,2019,6
Friday,2,97.13749999999999,72.28124999999999,2019,6
Friday,3,206.35,152.41249999999997,2019,6
Friday,4,203.10000000000002,147.8425,2019,6
Friday,5,145.3,121.88125000000001,2019,6
Friday,6,121.52499999999998,109.2225,2019,6
Friday,7,170.5,151.18375,2019,6
Friday,8,395.74000000000007,306.117,2019,6
Friday,9,446.66666666666674,343.3044444444444,2019,6
Friday,10,374.49999999999994,291.35777777777776,2019,6
Friday,11,469.675,368.1075000000001,2019,6
Friday,12,419.75,314.71875,2019,6
Friday,13,289.38750000000005,235.5925,2019,6
Friday,14,306.475,231.95125000000002,2019,6
Friday,15,136.36666666666667,112.24888888888887,2019,6
Friday,16,103.27000000000001,82.24000000000001,2019,6
Friday,17,274.7888888888889,201.02999999999997,2019,6
Friday,18,415.16249999999997,303.80499999999995,2019,6
Friday,19,395.6125,289.61875000000003,2019,6
Friday,20,344.9625,252.3075,2019,6
Friday,21,298.15,217.39125,2019,6
Friday,22,255.91111111111115,189.73666666666665,2019,6
Friday,23,250.73999999999995,195.666,2019,6
Monday,0,133.6875,121.22625,2019,6
Monday,1,122.19999999999999,113.85555555555554,2019,6
Monday,2,160.53333333333333,141.68555555555557,2019,6
Monday,3,123.81111111111113,102.03888888888889,2019,6
Monday,4,154.6222222222222,128.82888888888888,2019,6
Monday,5,338.75,256.415,2019,6
Monday,6,373.44999999999993,277.56999999999994,2019,6
Monday,7,360.7375,264.15749999999997,2019,6
Monday,8,327.52500000000003,240.70000000000002,2019,6
Monday,9,294.23999999999995,230.01500000000001,2019,6
Monday,10,528.9777777777778,389.96666666666664,2019,6
Monday,11,529.9888888888888,387.1,2019,6
Monday,12,556.5500000000001,408.57,2019,6
Monday,13,330.625,254.14500000000004,2019,6
Monday,14,367.85,273.11625,2019,6
Monday,15,464.1375,352.88750000000005,2019,6
Monday,16,444.05999999999995,340.09900000000005,2019,6
Monday,17,373.4444444444444,289.78,2019,6
Monday,18,351.78888888888895,260.12666666666667,2019,6
Monday,19,382.825,289.22375,2019,6
Monday,20,388.38750000000005,297.36875,2019,6
Monday,21,369.01250000000005,292.14,2019,6
Monday,22,338.125,268.08750000000003,2019,6
Monday,23,282.2666666666667,237.07555555555558,2019,6
Saturday,0,114.87500000000001,98.95583333333332,2019,6
Saturday,1,197.2,151.37699999999998,2019,6
Saturday,2,214.41,161.511,2019,6
Saturday,3,270.0400000000001,199.07799999999997,2019,6
Saturday,4,205.36666666666667,157.58777777777777,2019,6
Saturday,5,186.29090909090908,152.75818181818178,2019,6
Saturday,6,209.7916666666667,173.7433333333333,2019,6
Saturday,7,222.76666666666668,164.08222222222219,2019,6
Saturday,8,220.35000000000002,161.34333333333333,2019,6
Saturday,9,296.36999999999995,216.747,2019,6
Saturday,10,339.98,253.20300000000003,2019,6
Saturday,11,354.26666666666665,263.9288888888889,2019,6
Saturday,12,297.07000000000005,244.44299999999998,2019,6
Saturday,13,340.325,258.235,2019,6
Saturday,14,329.25454545454545,240.0581818181818,2019,6
Saturday,15,159.31666666666663,113.21499999999999,2019,6
Saturday,16,154.42000000000002,119.662,2019,6
Saturday,17,71.8,58.535000000000004,2019,6
Saturday,18,38.08,39.329,2019,6
Saturday,19,151.99999999999997,115.136,2019,6
Saturday,20,398.61666666666673,297.78499999999997,2019,6
Saturday,21,341.2545454545455,269.20454545454544,2019,6
Saturday,22,309.62500000000006,228.95916666666665,2019,6
Saturday,23,349.79999999999995,261.976,2019,6
Sunday,0,339.8299999999999,259.875,2019,6
Sunday,1,345.96999999999997,259.527,2019,6
Sunday,2,307.39,238.86599999999999,2019,6
Sunday,3,341.70000000000005,261.04727272727274,2019,6
Sunday,4,280.01666666666665,221.9275,2019,6
Sunday,5,218.95454545454547,175.64363636363638,2019,6
Sunday,6,194.70909090909092,156.70363636363638,2019,6
Sunday,7,211.04000000000002,183.468,2019,6
Sunday,8,262.41,204.639,2019,6
