dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,2.1,0.8257142857142857,2019,6
Friday,1,0.97,0.6199999999999999,2019,6
Friday,2,0.7555555555555555,0.5,2019,6
Friday,3,2.85,1.145,2019,6
Friday,4,1.4800000000000004,1.0933333333333335,2019,6
Friday,5,1.4500000000000002,0.765,2019,6
Friday,6,3.428571428571428,1.1428571428571428,2019,6
Friday,7,2.2375000000000003,0.97125,2019,6
Friday,8,1.9499999999999997,0.8775000000000001,2019,6
Friday,9,1.133333333333333,0.6144444444444445,2019,6
Friday,10,1.328888888888889,0.845,2019,6
Friday,11,2.1875,0.81875,2019,6
Friday,12,2.2511111111111113,1.12625,2019,6
Friday,13,1.08,0.666,2019,6
Friday,14,3.46,0.826,2019,6
Friday,15,1.7833333333333332,0.69,2019,6
Friday,16,2.5125,0.8,2019,6
Friday,17,2.542857142857143,0.57,2019,6
Friday,18,1.2300000000000002,0.7050000000000001,2019,6
Friday,19,2.2624999999999997,0.695,2019,6
Friday,20,2.4666666666666663,1.16,2019,6
Friday,21,2.6333333333333333,1.1366666666666667,2019,6
Friday,22,2.9499999999999997,1.133333333333333,2019,6
Friday,23,1.5777777777777777,0.8677777777777778,2019,6
Monday,0,1.5,0.898,2019,6
Monday,1,2.43,0.8366666666666666,2019,6
Monday,2,4.0875,2.5875000000000004,2019,6
Monday,3,2.5500000000000003,1.4585714285714286,2019,6
Monday,4,3.6075,2.222857142857143,2019,6
Monday,5,2.725,1.8637499999999998,2019,6
Monday,6,1.7571428571428573,0.79,2019,6
Monday,7,5.7700000000000005,1.25,2019,6
Monday,8,5.383333333333333,3.1166666666666667,2019,6
Monday,9,1.1749999999999998,0.5625,2019,6
Monday,10,3.0833333333333335,1.6816666666666666,2019,6
Monday,11,1.2533333333333332,0.10499999999999998,2019,6
Monday,12,3.6514285714285717,2.023333333333333,2019,6
Monday,13,2.525,1.8175,2019,6
Monday,14,2.442857142857143,1.3399999999999999,2019,6
Monday,15,1.7750000000000001,0.675,2019,6
Monday,16,0.48750000000000004,0.42,2019,6
Monday,17,1.732,0.67,2019,6
Monday,18,2.4266666666666667,0.8,2019,6
Monday,19,1.49375,0.7625,2019,6
Monday,20,2.5999999999999996,0.985,2019,6
Monday,21,1.9799999999999995,1.0514285714285714,2019,6
Monday,22,2.128571428571429,1.3614285714285714,2019,6
Monday,23,4.2375,1.6175,2019,6
Saturday,0,3.5100000000000007,1.428,2019,6
Saturday,1,2.709090909090909,1.4290909090909094,2019,6
Saturday,2,1.83,1.0430000000000001,2019,6
Saturday,3,2.0416666666666665,1.1725,2019,6
Saturday,4,2.4,1.529,2019,6
Saturday,5,1.8699999999999999,1.193,2019,6
Saturday,6,3.309090909090909,1.8072727272727276,2019,6
Saturday,7,2.556,1.391111111111111,2019,6
Saturday,8,1.55,1.163,2019,6
Saturday,9,1.9888888888888892,0.9500000000000001,2019,6
Saturday,10,1.255,0.52,2019,6
Saturday,11,1.42,0.9639999999999999,2019,6
Saturday,12,2.3875,0.5875,2019,6
Saturday,13,0.875,0.485,2019,6
Saturday,14,1.1833333333333333,0.48499999999999993,2019,6
Saturday,15,1.0942857142857143,0.4466666666666667,2019,6
Saturday,16,1.7166666666666668,1.125,2019,6
Saturday,17,3.157142857142857,1.7842857142857143,2019,6
Saturday,18,4.115,1.143,2019,6
Saturday,19,3.4875,1.2550000000000001,2019,6
Saturday,20,3.006,1.2766666666666666,2019,6
Saturday,21,3.9375,1.6237499999999998,2019,6
Saturday,22,2.3125,1.6087500000000001,2019,6
Saturday,23,3.4222222222222225,1.4044444444444444,2019,6
Sunday,0,2.822222222222222,1.6522222222222223,2019,6
Sunday,1,2.4545454545454546,1.380909090909091,2019,6
Sunday,2,3.3285714285714283,1.4957142857142858,2019,6
Sunday,3,1.4555555555555557,1.0622222222222222,2019,6
Sunday,4,2.028571428571429,1.2257142857142858,2019,6
Sunday,5,2.3125,1.38875,2019,6
Sunday,6,3.4074999999999998,1.4271428571428573,2019,6
Sunday,7,3.2222222222222223,1.7044444444444444,2019,6
Sunday,8,3.2555555555555555,1.3744444444444446,2019,6
Sunday,9,1.9142857142857144,1.1814285714285713,2019,6
Sunday,10,2.111111111111111,1.37,2019,6
Sunday,11,1.625,0.9175000000000001,2019,6
Sunday,12,1.4833333333333332,1.0083333333333335,2019,6
Sunday,13,2.766666666666667,1.03,2019,6
Sunday,14,2.2125,1.4674999999999998,2019,6
Sunday,15,0.8166666666666668,0.46833333333333327,2019,6
Sunday,16,0.722857142857143,0.3566666666666667,2019,6
Sunday,17,1.3444444444444443,0.5222222222222223,2019,6
Sunday,18,1.2666666666666668,0.49833333333333335,2019,6
Sunday,19,2.4375,0.90375,2019,6
Sunday,20,1.1714285714285715,0.4742857142857143,2019,6
Sunday,21,2.6166666666666667,1.03,2019,6
Sunday,22,1.1111111111111114,0.6144444444444445,2019,6
Sunday,23,2.6625,0.9562499999999999,2019,6
Thursday,0,2.3000000000000003,1.502857142857143,2019,6
Thursday,1,1.437142857142857,0.9366666666666666,2019,6
Thursday,2,1.5657142857142856,0.855,2019,6
Thursday,3,0.9142857142857144,0.55,2019,6
