dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,0.63,-0.31333333333333335,2022,2
Friday,1,0.21,-0.2,2022,2
Friday,2,0.84,-0.28500000000000003,2022,2
Friday,3,-0.16666666666666666,-0.2733333333333334,2022,2
Friday,4,0.5466666666666667,-0.2366666666666667,2022,2
Friday,5,0.252,-0.2675,2022,2
Friday,6,0.252,-0.04,2022,2
Friday,7,0.63,-0.22333333333333336,2022,2
Friday,8,0.524,-0.17666666666666667,2022,2
Friday,9,0.9214285714285714,-0.195,2022,2
Friday,10,0.63,-0.42000000000000004,2022,2
Friday,11,1.26,,2022,2
Friday,12,0.0,-0.0425,2022,2
Friday,13,0.21,-0.066,2022,2
Friday,14,0.756,0.0,2022,2
Friday,15,0.504,-0.24333333333333332,2022,2
Friday,16,1.26,,2022,2
Friday,17,0.84,-0.12000000000000001,2022,2
Friday,18,0.504,-0.2833333333333334,2022,2
Friday,19,0.4366666666666667,-0.1325,2022,2
Friday,20,-0.5,-0.565,2022,2
Friday,21,0.42,-0.305,2022,2
Friday,22,0.84,-0.17,2022,2
Friday,23,0.68,0.06,2022,2
Monday,0,0.756,-0.235,2022,2
Monday,1,0.63,-0.13666666666666666,2022,2
Monday,2,0.514,-0.17666666666666667,2022,2
Monday,3,0.6633333333333334,-0.07666666666666667,2022,2
Monday,4,0.21,-0.05599999999999998,2022,2
Monday,5,0.504,-0.09000000000000001,2022,2
Monday,6,-0.09,-0.246,2022,2
Monday,7,0.304,-0.2866666666666667,2022,2
Monday,8,0.524,-0.06666666666666667,2022,2
Monday,9,0.016666666666666666,-0.08333333333333333,2022,2
Monday,10,-0.07142857142857142,-0.2885714285714286,2022,2
Monday,11,0.63,-0.2,2022,2
Monday,12,0.252,-0.08750000000000001,2022,2
Monday,13,0.42,-0.1825,2022,2
Monday,14,0.21,-0.12000000000000002,2022,2
Monday,15,0.21,-0.18,2022,2
Monday,16,0.54,-0.05,2022,2
Monday,17,0.25333333333333335,-0.4325,2022,2
Monday,18,0.54,-0.23500000000000001,2022,2
Monday,19,0.42,-0.1325,2022,2
Monday,20,0.252,-0.30000000000000004,2022,2
Monday,21,0.0,-0.1175,2022,2
Monday,22,1.008,-0.4,2022,2
Monday,23,0.54,-0.21000000000000002,2022,2
Saturday,0,0.655,-0.12000000000000001,2022,2
Saturday,1,0.05,-0.07500000000000001,2022,2
Saturday,2,0.03333333333333333,-0.020000000000000004,2022,2
Saturday,3,0.42,0.0,2022,2
Saturday,4,0.39000000000000007,-0.05666666666666668,2022,2
Saturday,5,0.34,-0.043333333333333335,2022,2
Saturday,6,0.06000000000000001,-0.16999999999999998,2022,2
Saturday,7,0.655,-0.125,2022,2
Saturday,8,0.037142857142857144,-0.16166666666666665,2022,2
Saturday,9,0.756,0.02,2022,2
Saturday,10,1.008,0.0,2022,2
Saturday,11,1.008,0.0,2022,2
Saturday,12,1.26,,2022,2
Saturday,13,0.756,-0.22000000000000003,2022,2
Saturday,14,0.63,0.07,2022,2
Saturday,15,0.18,-0.11,2022,2
Saturday,16,0.21,-0.17400000000000002,2022,2
Saturday,17,0.36,-0.22000000000000003,2022,2
Saturday,18,0.63,-0.4466666666666666,2022,2
Saturday,19,0.756,-0.385,2022,2
Saturday,20,0.21,-0.22599999999999998,2022,2
Saturday,21,0.21,-0.13199999999999998,2022,2
Saturday,22,0.72,-0.11,2022,2
Saturday,23,0.756,-0.085,2022,2
Sunday,0,0.9,-0.2,2022,2
Sunday,1,0.21,-0.304,2022,2
Sunday,2,0.84,-0.165,2022,2
Sunday,3,0.72,-0.11333333333333334,2022,2
Sunday,4,0.21,-0.17800000000000002,2022,2
Sunday,5,0.63,-0.29,2022,2
Sunday,6,0.42,-0.29500000000000004,2022,2
Sunday,7,0.18,-0.12000000000000001,2022,2
Sunday,8,-0.2,-0.304,2022,2
Sunday,9,0.31714285714285717,-0.12,2022,2
Sunday,10,0.36,-0.166,2022,2
Sunday,11,0.756,-0.035,2022,2
Sunday,12,0.63,-0.16,2022,2
Sunday,13,0.63,-0.15666666666666668,2022,2
Sunday,14,0.25333333333333335,-0.4375,2022,2
Sunday,15,0.504,-0.11,2022,2
Sunday,16,0.21,-0.066,2022,2
Sunday,17,0.33666666666666667,-0.24,2022,2
Sunday,18,0.72,-0.13333333333333333,2022,2
Sunday,19,0.4633333333333334,-0.39666666666666667,2022,2
Sunday,20,0.42,-0.11750000000000001,2022,2
Sunday,21,0.63,-0.19666666666666668,2022,2
Sunday,22,0.63,-0.05333333333333334,2022,2
Sunday,23,0.63,-0.185,2022,2
Thursday,0,0.21,-0.18200000000000002,2022,2
Thursday,1,0.0,-0.12200000000000003,2022,2
Thursday,2,0.0,-0.072,2022,2
Thursday,3,0.0,-0.316,2022,2
Thursday,4,0.3742857142857143,-0.11000000000000001,2022,2
Thursday,5,-0.16666666666666666,-0.21,2022,2
Thursday,6,0.36,-0.124,2022,2
Thursday,7,0.21,-0.156,2022,2
Thursday,8,0.21,-0.17200000000000001,2022,2
Thursday,9,0.42,-0.2975,2022,2
Thursday,10,-0.25,-0.35,2022,2
Thursday,11,0.0,-0.0975,2022,2
Thursday,12,0.504,-0.043333333333333335,2022,2
Thursday,13,0.41714285714285715,-0.13000000000000003,2022,2
Thursday,14,0.21,-0.128,2022,2
Thursday,15,0.54,-0.1,2022,2
Thursday,16,0.756,-0.30000000000000004,2022,2
Thursday,17,0.0,-0.33,2022,2
Thursday,18,0.72,-0.04666666666666667,2022,2
Thursday,19,0.252,-0.19000000000000003,2022,2
Thursday,20,0.0071428571428571435,-0.14142857142857143,2022,2
Thursday,21,0.504,-0.19000000000000003,2022,2
Thursday,22,0.504,-0.09333333333333334,2022,2
Thursday,23,0.02,-0.258,2022,2
Tuesday,0,0.36,-0.278,2022,2
Tuesday,1,0.63,-0.2866666666666667,2022,2
Tuesday,2,0.5542857142857143,-0.1,2022,2
Tuesday,3,0.756,0.005,2022,2
Tuesday,4,0.315,-0.17666666666666667,2022,2
Tuesday,5,0.8566666666666666,-0.13,2022,2
Tuesday,6,0.043333333333333335,-0.16,2022,2
Tuesday,7,0.304,-0.23333333333333336,2022,2
Tuesday,8,0.21,-0.176,2022,2
Tuesday,9,0.36,-0.22799999999999998,2022,2
Tuesday,10,0.0,-0.085,2022,2
Tuesday,11,0.42,-0.255,2022,2
Tuesday,12,1.26,,2022,2
Tuesday,13,-0.16666666666666666,-0.16666666666666666,2022,2
Tuesday,14,0.252,-0.1,2022,2
Tuesday,15,0.42,-0.1,2022,2
Tuesday,16,0.505,-0.3,2022,2
Tuesday,17,0.504,0.0033333333333333335,2022,2
Tuesday,18,0.42,-0.135,2022,2
Tuesday,19,0.63,-0.135,2022,2
Tuesday,20,0.252,-0.28500000000000003,2022,2
Tuesday,21,0.756,-0.105,2022,2
Tuesday,22,0.21,-0.166,2022,2
Tuesday,23,0.18,-0.16666666666666666,2022,2
Wednesday,0,0.315,-0.15666666666666668,2022,2
Wednesday,1,0.0,-0.242,2022,2
Wednesday,2,0.63,-0.2,2022,2
Wednesday,3,-0.25,-0.35750000000000004,2022,2
Wednesday,4,0.0,-0.2,2022,2
Wednesday,5,0.504,-0.32666666666666666,2022,2
Wednesday,6,0.252,-0.22999999999999998,2022,2
Wednesday,7,0.6733333333333333,-0.655,2022,2
Wednesday,8,0.0,-0.16166666666666665,2022,2
Wednesday,9,0.63,0.0,2022,2
Wednesday,10,0.84,-0.2,2022,2
Wednesday,11,0.42,-0.17,2022,2
Wednesday,12,0.0,-0.14200000000000002,2022,2
Wednesday,13,0.63,-0.06666666666666667,2022,2
Wednesday,14,0.756,-0.165,2022,2
Wednesday,15,0.42,-0.1,2022,2
Wednesday,16,1.008,-0.14,2022,2
Wednesday,17,0.63,-0.17,2022,2
Wednesday,18,0.252,-0.185,2022,2
Wednesday,19,0.756,-0.125,2022,2
Wednesday,20,0.42,-0.1325,2022,2
Wednesday,21,0.63,-0.185,2022,2
Wednesday,22,0.42,-0.045000000000000005,2022,2
Wednesday,23,0.63,-0.05666666666666667,2022,2
