dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,8.0375,2.0625,2019,6
Friday,1,5.77,2.005,2019,6
Friday,2,6.720000000000001,2.419,2019,6
Friday,3,7.075,2.5212499999999998,2019,6
Friday,4,10.849999999999998,3.1987499999999995,2019,6
Friday,5,5.374999999999999,2.04875,2019,6
Friday,6,7.4375,1.8475000000000001,2019,6
Friday,7,7.35,2.1075,2019,6
Friday,8,7.2124999999999995,2.2162500000000005,2019,6
Friday,9,6.67,2.151,2019,6
Friday,10,4.5875,1.8087499999999999,2019,6
Friday,11,6.35,2.21625,2019,6
Friday,12,5.112500000000001,1.8125,2019,6
Friday,13,3.8625000000000007,1.65375,2019,6
Friday,14,7.987500000000001,2.255,2019,6
Friday,15,6.9375,1.43375,2019,6
Friday,16,7.35,1.71625,2019,6
Friday,17,7.527272727272727,1.5472727272727271,2019,6
Friday,18,5.7555555555555555,1.8444444444444446,2019,6
Friday,19,9.5125,2.6875,2019,6
Friday,20,8.6625,3.1225000000000005,2019,6
Friday,21,11.45,3.4174999999999995,2019,6
Friday,22,11.425,3.21,2019,6
Friday,23,39.825,22.06125,2019,6
Monday,0,16.375,5.446250000000001,2019,6
Monday,1,16.525,5.33,2019,6
Monday,2,15.774999999999999,6.3637500000000005,2019,6
Monday,3,14.2125,5.5424999999999995,2019,6
Monday,4,16.4875,6.617499999999999,2019,6
Monday,5,20.3625,6.896250000000001,2019,6
Monday,6,21.827272727272728,7.172727272727272,2019,6
Monday,7,15.366666666666667,6.451111111111111,2019,6
Monday,8,16.525,6.27375,2019,6
Monday,9,13.799999999999999,6.232499999999999,2019,6
Monday,10,12.7125,5.673749999999999,2019,6
Monday,11,12.7625,5.951250000000001,2019,6
Monday,12,11.825000000000001,4.898750000000001,2019,6
Monday,13,11.066666666666666,4.475555555555555,2019,6
Monday,14,10.68,4.674,2019,6
Monday,15,6.9222222222222225,2.941111111111111,2019,6
Monday,16,6.6,2.74625,2019,6
Monday,17,6.575,2.1662500000000002,2019,6
Monday,18,7.125,2.32125,2019,6
Monday,19,9.2125,2.62,2019,6
Monday,20,7.8,2.5500000000000003,2019,6
Monday,21,8.536363636363637,2.402727272727273,2019,6
Monday,22,18.88888888888889,6.464444444444445,2019,6
Monday,23,10.9375,3.48625,2019,6
Saturday,0,11.015384615384617,4.44153846153846,2019,6
Saturday,1,11.727272727272727,3.7127272727272724,2019,6
Saturday,2,6.300000000000001,2.4966666666666666,2019,6
Saturday,3,10.52,3.415,2019,6
Saturday,4,10.655555555555557,3.4477777777777776,2019,6
Saturday,5,12.069999999999999,4.1259999999999994,2019,6
Saturday,6,12.599999999999998,4.247999999999999,2019,6
Saturday,7,10.069999999999999,4.287000000000001,2019,6
Saturday,8,8.328571428571431,2.8642857142857148,2019,6
Saturday,9,6.760000000000001,2.568,2019,6
Saturday,10,6.218181818181818,2.429090909090909,2019,6
Saturday,11,4.769999999999999,1.6239999999999999,2019,6
Saturday,12,4.319999999999999,1.4369999999999998,2019,6
Saturday,13,4.879999999999999,1.609,2019,6
Saturday,14,6.63,1.7839999999999996,2019,6
Saturday,15,4.3100000000000005,1.243,2019,6
Saturday,16,4.942857142857143,1.625714285714286,2019,6
Saturday,17,8.472727272727273,3.1381818181818186,2019,6
Saturday,18,9.2,3.116,2019,6
Saturday,19,6.969999999999999,2.5319999999999996,2019,6
Saturday,20,8.34,2.975,2019,6
Saturday,21,8.450000000000001,3.2649999999999997,2019,6
Saturday,22,9.929999999999998,3.7309999999999994,2019,6
Saturday,23,10.730000000000002,3.1127272727272723,2019,6
Sunday,0,7.458333333333333,3.514166666666666,2019,6
Sunday,1,9.7,4.014545454545455,2019,6
Sunday,2,8.288888888888888,3.572222222222222,2019,6
Sunday,3,8.66,3.5490000000000004,2019,6
Sunday,4,10.600000000000001,3.996,2019,6
Sunday,5,12.2,4.096,2019,6
Sunday,6,10.469999999999999,4.256,2019,6
Sunday,7,10.492307692307692,3.8953846153846152,2019,6
Sunday,8,9.181818181818182,3.6963636363636367,2019,6
Sunday,9,9.50909090909091,3.9218181818181814,2019,6
Sunday,10,11.469999999999999,4.278,2019,6
Sunday,11,9.459999999999997,4.3420000000000005,2019,6
Sunday,12,8.77,4.045,2019,6
Sunday,13,11.570000000000002,4.316000000000001,2019,6
Sunday,14,11.399999999999999,5.415555555555556,2019,6
Sunday,15,9.464285714285717,3.507857142857143,2019,6
Sunday,16,8.32727272727273,3.7527272727272734,2019,6
